PlantGroup	Order	Species	Oil-body-presence	Oil-body-type	Ndna
Marchantiophyta (liverworts)	Treubiales	Treubia lacunosa	1	one in specialized cell	1016
Marchantiophyta (liverworts)	Sphaerocarpales	Sphaerocarpos donnellii	0	none	M158
Marchantiophyta (liverworts)	Ptilidiales	Ptilidium ciliare	1	many in all cells	225
Marchantiophyta (liverworts)	Porellales	Porella caespitans var. nipponica	1	many in all cells	1017
Marchantiophyta (liverworts)	Porellales	Porella chinensis	1	many in all cells	1025
Marchantiophyta (liverworts)	Porellales	Gackstroemia magellanica	1	many in all cells	604
Marchantiophyta (liverworts)	Porellales	Porella platyphylla	1	many in all cells	630
Marchantiophyta (liverworts)	Porellales	Acrolejeunea sandvicensis	1	many in all cells	888
Marchantiophyta (liverworts)	Porellales	Frullania moniliata	1	many in all cells	957
Marchantiophyta (liverworts)	Pleuroziales	Pleurozia purpurea	1	many in all cells	891
Marchantiophyta (liverworts)	Pelliales	Noteroclada confluens	1	many in all cells	625
Marchantiophyta (liverworts)	Pallaviciniales	Pallavicinia ambigua	1	many in all cells	912
Marchantiophyta (liverworts)	Metzgeriales	Metzgeria furcata	0	none	368
Marchantiophyta (liverworts)	Metzgeriales	Metzgeria hamata (syn. leptoneura)	1	many in all cells	905
Marchantiophyta (liverworts)	Marchantiales	Conocephalum conicum	1	one in specialized cell	664
Marchantiophyta (liverworts)	Marchantiales	Cyathodium cavernarum	1	one in specialized cell	908
Marchantiophyta (liverworts)	Marchantiales	Ricciocarpos natans	1	one in specialized cell	909
Marchantiophyta (liverworts)	Marchantiales	Plagiochasma appendiculatum	1	one in specialized cell	952
Marchantiophyta (liverworts)	Marchantiales	Riccia cavernosa	0	none	653
Marchantiophyta (liverworts)	Lunulariales	Lunularia cruciata	1	one in specialized cell	231
Marchantiophyta (liverworts)	Jungermanniales	Jungermannia erectum	1	many in all cells	955
Marchantiophyta (liverworts)	Jungermanniales	Plagiochila semidecurrens	1	many in all cells	369
Marchantiophyta (liverworts)	Jungermanniales	Bazzania tridens	1	many in all cells	1026
Marchantiophyta (liverworts)	Jungermanniales	Odontoschisma sphagni	1	many in all cells	343
Marchantiophyta (liverworts)	Jungermanniales	Scapania nepalensis	1	many in all cells	359
Marchantiophyta (liverworts)	Jungermanniales	Vetaforma dusenii	1	many in all cells	620
Marchantiophyta (liverworts)	Jungermanniales	Plagiochila sp.	1	many in all cells	621
Marchantiophyta (liverworts)	Jungermanniales	Mesoptychia sp.	1	many in all cells	623
Marchantiophyta (liverworts)	Jungermanniales	Acrobolbus urvilleanus	1	many in all cells	626
Marchantiophyta (liverworts)	Jungermanniales	Herbertus kurzii	1	many in all cells	906
Marchantiophyta (liverworts)	Jungermanniales	Lepidozia reptans	1	many in all cells	961
Marchantiophyta (liverworts)	Jungermanniales	Plicanthus hirtellus	1	many in all cells	963
Marchantiophyta (liverworts)	Jungermanniales	Tetralophozia filiformis	1	many in all cells	965
Marchantiophyta (liverworts)	Jungermanniales	Tritomaria exsectiformis	1	many in all cells	966
Marchantiophyta (liverworts)	Haplomitriales	Haplomitrium mnioides	1	many in all cells	302
Marchantiophyta (liverworts)	Fossombroniales	Fossombronia cristula	1	many in all cells	889
Marchantiophyta (liverworts)	Blasiales	Blasia pusilla	0	none	890
Marchantiophyta (liverworts)	Blasiales	Blasia pusilla	0	none	349
Marchantiophyta (liverworts)	Marchantiales	Marchantia paleacea	1	one in specialized cell	MAPA
Marchantiophyta (liverworts)	Marchantiales	Mp subsp. rudelaris	1	one in specialized cell	MpTAKv6
Marchantiophyta (liverworts)	Marchantiales	Mp subsp. montivagans	1	one in specialized cell	MpMON
Marchantiophyta (liverworts)	Marchantiales	Mp subsp. polymorpha	1	one in specialized cell	MpPOL
